Entity,Code,Day,deaths_per_million,rolling_7d,year,month,quarter,is_weekend,daily_change,pct_change
United States,USA,2022-07-09,1.0256246,1.0651820142857142,2022,2022-07,2022Q3,True,0.0062742000000000075,0.006155096422191919
United States,USA,2022-07-10,1.0264611,1.0539481714285714,2022,2022-07,2022Q3,True,0.0008364999999999068,0.000815600561842933
United States,USA,2022-07-11,1.0130762,1.0389498285714285,2022,2022-07,2022Q3,False,-0.013384899999999922,-0.01303985119358142
United States,USA,2022-07-12,1.0231149,1.0247282714285715,2022,2022-07,2022Q3,False,0.010038699999999956,0.009909126282899416
United States,USA,2022-07-13,1.0900398,1.0282537714285713,2022,2022-07,2022Q3,False,0.06692490000000006,0.06541288764341147
United States,USA,2022-07-14,1.1661669,1.0519762714285714,2022,2022-07,2022Q3,False,0.07612709999999989,0.06983882606855252
United States,USA,2022-07-15,1.2121779,1.0795230571428571,2022,2022-07,2022Q3,False,0.046011000000000024,0.03945490135245655
United States,USA,2022-07-16,1.1971197,1.104022357142857,2022,2022-07,2022Q3,True,-0.01505819999999991,-0.012422434033816265
United States,USA,2022-07-17,1.1649121,1.1238010714285713,2022,2022-07,2022Q3,True,-0.0322076,-0.026904243577313136
United States,USA,2022-07-18,1.1849896,1.1483601285714287,2022,2022-07,2022Q3,False,0.02007749999999997,0.017235205986786406
United States,USA,2022-07-19,1.210923,1.1751898571428572,2022,2022-07,2022Q3,False,0.025933399999999995,0.021884917808561388
United States,USA,2022-07-20,1.2410393,1.1967612142857145,2022,2022-07,2022Q3,False,0.030116299999999985,0.024870532643281207
United States,USA,2022-07-21,1.2636263,1.2106839857142855,2022,2022-07,2022Q3,False,0.022587000000000135,0.01820006828148002
United States,USA,2022-07-22,1.2485683,1.2158826142857144,2022,2022-07,2022Q3,False,-0.015058000000000016,-0.0119164977810291
United States,USA,2022-07-23,1.2648813,1.2255628428571428,2022,2022-07,2022Q3,True,0.016313000000000022,0.013065364545936431
United States,USA,2022-07-24,1.333061,1.2495841142857143,2022,2022-07,2022Q3,True,0.06817969999999995,0.053902053892329604
United States,USA,2022-07-25,1.3351524,1.271035942857143,2022,2022-07,2022Q3,False,0.0020913999999998545,0.001568870441787551
United States,USA,2022-07-26,1.3351524,1.288783,2022,2022-07,2022Q3,False,0.0,0.0
United States,USA,2022-07-27,1.3150749,1.2993595142857142,2022,2022-07,2022Q3,False,-0.02007749999999997,-0.015037609189782364
